order_id,user_id,item
1466,1,paint
1466,1,screws
1466,1,nails
4520,2,screws
4520,2,glue
4520,2,bucket
7810,2,glue
7810,2,hammer
7810,2,screwdriver
4823,3,screws
4823,3,paint
4823,3,glue
9069,4,screws
9069,4,paint
9069,4,wire
9069,4,nails
1717,5,bucket
1717,5,wire
1717,5,hammer
1717,5,paint
8307,5,screwdriver
8307,5,broom
8307,5,wire
8307,5,glue
6373,6,screwdriver
4478,7,tape
4478,7,glue
4478,7,wire
6983,7,paint
7564,8,paint
3203,9,glue
3203,9,tape
3203,9,screwdriver
3203,9,paint
4267,10,broom
4267,10,glue
4267,10,screwdriver
5592,10,screws
5592,10,glue
5592,10,paint
9072,11,tape
9072,11,bucket
9072,11,screwdriver
9037,12,bucket
9037,12,paint
9037,12,wire
9443,13,nails
9443,13,screwdriver
9443,13,tape
9443,13,paint
2735,14,nails
2735,14,screwdriver
2735,14,broom
4576,14,hammer
4576,14,screws
4700,15,wire
4700,15,screws
2251,16,glue
2251,16,wire
2251,16,screwdriver
2251,16,bucket
8922,17,nails
6021,18,screws
6021,18,paint
6021,18,wire
6021,18,broom
7569,18,tape
7569,18,paint
7569,18,bucket
7569,18,screwdriver
6981,19,screws
6981,19,tape
4683,20,tape
4683,20,broom
4683,20,wire
