"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-01","0.03","0.6","0.0",,"34","17"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-02","0.06","1.7","1.0",,"19","11"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-03","0.00","0.0","2.0",,"18","4"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-04","0.03","0.8","1.0",,"24","15"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-05","0.07","1.4","3.0",,"22","18"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-06","0.02","0.4","3.0",,"23","20"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-07","0.18","3.1","3.0",,"23","15"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-08","0.06","1.4","7.0",,"22","11"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-09","0.00","0.1","7.0",,"22","9"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-10","0.00","0.1","6.0",,"18","8"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-11","0.03","0.5","5.0",,"23","13"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-12","0.01","0.2","5.0",,"27","13"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-13","0.00","0.0","4.0",,"30","9"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-14","0.00","0.0","4.0",,"39","19"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-15","0.00","0.0","3.0",,"41","36"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-16","0.00","0.0","1.0",,"38","31"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-17","0.29","0.0","0.0",,"40","33"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-18","0.00","0.0","0.0",,"33","29"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-19","0.00","0.0","0.0",,"35","30"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-20","0.00","0.0","0.0",,"35","22"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-21","0.34","0.0","0.0",,"45","30"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-22","0.00","0.0","0.0",,"45","38"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-23","0.00","0.0","0.0",,"50","39"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-24","1.08","0.0","0.0",,"50","42"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-25","0.02","0.1","0.0",,"49","31"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-26","0.02","0.2","0.0",,"31","23"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-27","0.00","0.0","0.0",,"33","22"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-28","0.03","0.3","0.0",,"33","13"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-29","0.00","0.0","0.0",,"17","10"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-30","0.00","0.0","0.0",,"25","14"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-01-31","0.00","0.0","0.0",,"31","10"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-01","0.00","0.0","0.0",,"34","15"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-02","0.02","0.3","0.0",,"43","27"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-03","0.00","0.0","0.0",,"36","29"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-04","0.00","0.0","0.0",,"39","21"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2010-02-05","0.90","9.0","0.0",,"35","32"
