E1,E2,E3,E4,E5,E6,E7,E8
-7.5823,-2.6281,-7.5531,-5.4564,-10.5786,9.6312,8.5490,4.2211
-6.7984,-7.9041,7.3254,1.1932,2.1525,3.8744,-4.1618,-2.5492
-3.6653,9.0984,2.4673,9.2132,6.3029,-9.3942,-4.1416,3.5299
-6.7463,-2.6540,-8.9294,-5.5467,-10.1785,10.0658,10.0483,2.7589
-8.7560,-6.5018,6.2998,-1.0408,3.1820,6.6695,-4.6471,-3.0367
2.5504,-7.9669,6.9169,8.2784,-2.2880,6.1282,-2.5747,-7.1987
3.0054,11.1412,-6.2318,-1.5770,8.0766,3.0435,0.3468,10.2776
2.0467,-7.9783,8.8843,8.8551,-1.2099,5.9305,-1.6594,-6.6976
0.0798,8.9159,-6.1168,-1.0488,7.3959,3.5255,1.0141,10.4963
3.0474,-6.7804,6.7857,6.9695,-2.5104,6.1950,-2.4298,-6.0852
-6.6860,-4.5592,-8.9448,-5.7096,-8.6958,9.0271,7.8209,3.9192
1.9359,8.1166,-7.6717,-0.8499,8.3802,3.6874,1.2469,10.0540
-5.3290,-4.9083,-9.3140,-4.9222,-9.3890,10.6933,7.9328,3.2699
-0.1482,8.4570,-6.3951,-1.2646,7.7293,2.8759,1.0669,8.6305
-5.7120,-4.2615,-8.7957,-4.8013,-9.9945,7.5524,9.4325,2.8106
-7.3544,-7.0875,8.4976,0.9261,3.1841,6.0430,-4.1380,-1.2699
0.0328,8.1871,-7.2763,-0.4190,7.9607,3.3686,0.0585,9.3510
2.3969,10.8817,-8.1604,-2.2667,7.4251,2.0848,-0.1922,8.7592
-7.1630,-5.4175,6.2001,-1.3178,2.1301,6.4653,-3.6046,-1.4910
-6.5583,-4.1956,-8.8067,-5.6587,-9.2007,12.0071,7.0163,2.9047
-5.1426,-8.7385,7.7940,1.3098,4.8558,6.1855,-2.5307,-2.5587
-0.0324,10.0385,-7.1546,-1.2893,6.5811,3.7034,1.1843,9.0126
1.8050,-9.1097,9.8424,8.0214,-3.3960,7.4934,-4.2376,-5.7095
-3.2988,9.8767,3.4903,7.2692,7.7256,-7.3310,-3.0020,4.8635
-2.9313,10.9243,2.2631,6.9233,7.8241,-9.5482,-4.2725,4.3752
-8.3924,-8.5012,7.4256,1.9831,0.5602,6.2135,-2.8488,-2.3815
-2.6628,9.5629,2.4809,6.9372,7.7208,-9.1160,-4.7952,3.6757
-6.8815,-6.8391,5.9629,0.1744,3.0455,5.4785,-5.6987,-3.0302
-8.1048,-8.8449,6.9174,0.1731,4.0686,6.9623,-4.5642,-3.7815
2.6650,-8.5771,6.9141,6.7726,-1.8897,6.6167,-3.5320,-5.4409
-7.9432,-3.7930,-8.8425,-4.4981,-8.0935,8.0739,9.1617,3.4878
2.2780,-8.1382,5.6152,8.0224,-0.6586,8.2868,-2.4623,-7.6869
-3.9312,10.4337,1.3198,6.4679,8.1748,-9.4432,-3.1663,4.2870
2.4231,8.6136,-6.9461,0.5359,7.4932,1.4527,0.2092,9.1316
-4.4638,9.9147,3.0150,8.3048,6.2892,-8.5061,-3.8122,3.6524
-6.8374,-7.3900,6.8837,0.2261,3.5434,4.8849,-5.3358,-2.0725
-5.2705,-7.0995,6.4964,0.4985,3.0019,7.0735,-6.4643,-3.6937
-7.9326,-4.1953,-10.6872,-6.3192,-8.6923,9.8307,8.5181,2.4391
-7.7695,-5.6546,-9.2385,-6.7664,-8.9364,8.6049,10.2606,4.5813
-7.4646,-3.8258,-9.1615,-6.9584,-7.6117,8.3959,7.9543,4.1468
-7.3786,-4.6925,-8.6721,-6.2647,-8.4687,8.5802,10.7041,3.6985
-6.8993,-6.7949,7.3239,0.0058,3.8484,6.8515,-2.0996,-2.7615
2.3183,10.3009,-7.8415,-1.0187,6.9404,2.9925,1.7677,9.5384
-7.5022,-6.1884,-8.9338,-4.5947,-8.9347,8.6787,8.0586,4.7726
-2.3214,9.7529,3.6795,7.3478,7.4862,-8.7044,-3.7746,5.6199
-1.1254,10.9016,2.8738,8.3567,6.9644,-7.6346,-2.4607,5.2799
-2.3230,8.8821,3.5301,7.0581,6.4342,-8.5258,-3.2477,2.8118
4.7888,-7.5836,7.2471,8.1888,-0.2923,6.9913,-2.0825,-6.7485
-6.9904,-5.2735,-10.7231,-5.1571,-9.1444,7.7084,8.2693,3.2149
-4.0972,8.8525,3.4280,9.2764,8.2516,-9.5231,-3.1768,4.7333
2.4648,-5.7971,7.4125,7.4211,-2.8140,6.4863,-3.0410,-6.3790
-5.4877,-7.3149,6.5723,-0.9836,2.5826,4.3430,-3.2082,-2.4934
4.2508,-10.0660,5.9491,8.7796,-0.7949,6.4058,-2.9903,-6.4110
-6.5494,-3.6760,-9.9697,-6.1504,-10.0004,11.2218,9.8187,3.9988
-8.2263,-3.3365,-9.4607,-4.6425,-7.5636,9.7625,10.5734,4.0684
-7.6702,-4.3917,-8.7336,-6.4779,-11.3385,8.1990,9.9296,3.7290
2.4314,-9.7558,6.2428,8.4440,-1.2229,5.9503,-2.9139,-5.7161
-7.8239,-5.6734,-9.2067,-3.9355,-8.5244,9.4995,9.5298,2.3386
-7.3366,-4.8333,-9.3745,-4.9281,-9.3432,8.6392,8.3261,3.0396
-7.3636,-3.7384,-8.9772,-6.1820,-8.1030,9.1076,8.6935,3.0096
-7.0956,-6.2051,8.5472,0.6062,0.8371,5.8738,-5.5875,-2.2378
-4.3317,9.4935,3.5182,8.0684,7.3787,-9.6631,-3.4417,4.5701
-6.4579,-2.4995,-8.7303,-5.3700,-10.1934,9.7907,9.8444,3.2607
-4.7707,9.3558,4.2632,6.5239,8.5318,-8.6571,-2.7679,5.3672
-4.1274,-4.6669,-8.3115,-5.9429,-8.8980,8.2520,8.4122,2.0689
-7.6187,-4.1332,-10.4325,-3.3318,-8.3907,10.7567,10.4496,3.2420
3.4767,-6.8538,5.9831,7.5737,-1.3347,6.3520,-0.5379,-4.1137
-7.8033,-9.2874,7.5669,1.2434,1.2649,6.1964,-5.0791,-1.0716
-6.4204,-4.3609,-10.0453,-5.1896,-9.0347,9.7079,11.2991,4.4300
4.7322,-8.5107,8.4743,6.6614,-2.4421,7.1472,-1.7947,-5.1166
-6.8479,-6.2850,7.0441,1.2970,1.8883,7.0049,-4.2663,-0.6836
-3.7043,9.0628,3.8758,6.4090,7.6123,-11.2285,-4.2655,3.6379
2.2358,9.1622,-8.0581,-2.0402,6.2893,3.3368,1.6792,9.3638
3.2074,10.8680,-7.3309,-3.1092,6.9833,4.6245,1.1490,9.0540
2.7166,-9.9394,7.7577,8.4179,-2.2051,7.3511,-4.7206,-7.0369
-7.4150,-6.5950,5.8466,0.3371,4.3268,6.4312,-3.5364,-3.3778
-8.6907,-5.0106,-10.9636,-4.8559,-7.8813,7.5246,9.9542,2.6527
-3.4966,9.8257,3.7147,8.0395,6.5458,-9.5292,-4.2698,5.4496
-8.5522,-4.2115,-8.2159,-5.6523,-10.5186,9.0866,7.3289,3.6208
2.1431,9.4097,-6.4559,0.1817,10.1262,2.8069,1.0004,9.6928
0.8498,8.1410,-7.3816,-1.1268,7.3686,1.8368,0.9182,8.7499
-6.0430,-3.1254,-9.0788,-4.8681,-7.6943,9.4148,8.7378,3.2836
-6.4888,-4.9228,-9.6903,-7.0506,-9.1223,9.5108,7.9533,3.2494
-6.4498,-6.7367,5.0823,0.7258,2.3340,6.6132,-4.4101,0.3500
-4.6081,9.3524,3.5328,7.2901,7.5933,-8.8929,-4.7348,3.6133
-5.4195,-7.4738,7.3856,1.1394,1.2013,6.4081,-4.2277,-3.0979
2.4642,-8.1479,8.0323,9.6045,-3.0920,6.7603,-4.0837,-6.8379
