instance,class,num,sup,cpm,mis,misr,dir,omega
158,3,0,2,0,10.0,0.0,ao,3000
158,3,1,2,0,13.5,0.0,av,3000
158,3,2,2,0,20.0,0.0,aa,3000
158,3,3,2,0,2.6,0.0,vo,3000
158,3,4,2,0,5.5,0.0,vv,3000
158,3,5,2,0,4.0,0.0,va,3000
158,3,6,1,0,11.5,0.0,ao,3000
158,3,7,1,0,11.0,0.0,av,3000
158,3,8,1,0,25.0,0.0,aa,3000
158,3,9,1,0,2.4,0.0,vo,3000
158,3,10,1,0,3.25,0.0,vv,3000
158,3,11,1,0,6.0,0.0,va,3000
158,3,12,1,3000,1.25,0.0,io,3000
158,3,13,1,3000,1.15,0.0,iv,3000
158,3,14,1,3000,2.75,0.0,ia,3000
158,3,15,1,6000,1.2,0.0,io,3000
158,3,16,1,6000,1.35,0.0,iv,3000
158,3,17,1,6000,4.75,0.0,ia,3000
158,3,18,2,30000,1.05,0.0,io,3000
158,3,19,1,18000,0.6,0.0,io,3000
158,3,20,1,28000,1.95,0.0,iv,3000
158,3,21,1,29000,1.25,0.0,ia,3000
158,3,22,1,31000,0.65,0.0,io,3000
158,3,23,2,3000,1.2,0.0,io,3000
158,3,24,2,3000,1.4,0.0,iv,3000
158,3,25,2,3000,1.35,0.0,ia,3000
158,3,26,2,6000,1.45,0.0,io,3000
158,3,27,2,6000,3.5,0.0,iv,3000
158,3,28,2,6000,3.25,0.0,ia,3000
158,3,29,2,29000,1.4,0.0,iv,3000
158,3,30,1,6000,4.75,0.0,ma,3000
97,2,0,1,0,17.5,7.0,ao,1500
97,2,1,1,0,9.5,8.5,av,1500
97,2,2,1,0,4.5,3.4,vo,1500
97,2,3,1,0,9.25,2.65,vv,1500
97,2,4,2,0,14.0,10.5,ao,1500
97,2,5,2,0,33.0,12.0,av,1500
97,2,6,2,0,23.0,11.0,aa,1500
97,2,7,2,0,4.9,2.7,vo,1500
97,2,8,2,0,11.0,2.8,vv,1500
97,2,9,2,0,7.25,2.9,va,1500
97,2,10,4,0,16.0,8.5,ao,1500
97,2,11,4,0,85.0,7.5,av,1500
97,2,12,4,0,62.5,2.5,aa,1500
97,2,13,4,0,15.5,1.4,vo,1500
97,2,14,4,0,31.0,1.3,vv,1500
97,2,15,4,0,21.0,0.6,va,1500
97,2,16,3,0,11.0,23.5,ao,1500
97,2,17,3,0,33.0,15.0,av,1500
97,2,18,3,0,39.0,3.0,aa,1500
97,2,19,3,0,7.0,3.75,vo,1500
97,2,20,3,0,11.0,3.25,vv,1500
97,2,21,3,0,14.5,0.7,va,1500
97,2,22,1,10500,1.2,0.0,iv,1500
97,2,23,4,8000,1.75,0.0,io,1500
97,2,24,4,11500,2.25,0.0,io,1500
97,2,25,4,13000,8.5,0.0,iv,1500
97,2,26,4,25000,6.5,0.0,io,1500
97,2,27,4,25000,11.0,0.0,iv,1500
97,2,28,4,25000,8.5,0.0,ia,1500
97,2,29,1,16000,0.85,0.0,io,1500
97,2,30,2,1500,0.6,0.6,iv,1500
97,2,31,2,1500,0.35,0.3,ia,1500
97,2,32,2,6500,4.0,0.0,io,1500
97,2,33,2,6500,9.2,0.0,iv,1500
97,2,34,2,6500,7.6,0.0,ia,1500
97,2,35,1,6500,4.0,0.0,io,1500
97,2,36,1,6500,9.0,0.0,iv,1500
97,2,37,2,13000,1.9,0.0,ia,1500
97,2,38,4,40000,2.25,0.0,io,1500
97,2,39,4,40000,3.5,0.0,iv,1500
97,2,40,2,15000,0.55,0.0,io,1500
97,2,41,2,19500,3.4,0.0,iv,1500
97,2,42,2,19500,1.95,0.0,ia,1500
97,2,43,3,1500,0.5,0.7,io,1500
97,2,44,3,6500,1.5,0.0,io,1500
97,2,45,3,6500,10.0,0.0,iv,1500
97,2,46,3,6500,13.5,0.0,ia,1500
97,2,47,3,13000,1.5,0.0,iv,1500
97,2,48,3,13000,1.3,0.0,ia,1500
97,2,49,3,25000,4.5,0.0,io,1500
97,2,50,3,25000,3.3,0.0,iv,1500
97,2,51,3,25000,1.3,0.0,ia,1500
97,2,52,3,50000,1.45,0.0,ia,1500
97,2,53,4,1500,1.0,0.5,iv,1500
97,2,54,4,6500,1.4,0.0,io,1500
97,2,55,4,6500,16.0,0.0,iv,1500
97,2,56,4,6500,18.0,0.0,ia,1500
97,2,57,4,6500,18.0,0.0,ma,1500
167,4,0,2,0,22.0,0.0,ao,3000
167,4,1,2,0,12.0,0.0,av,3000
167,4,2,2,0,3.0,0.0,aa,3000
167,4,3,2,0,5.4,0.0,vo,3000
167,4,4,2,0,2.2,0.0,vv,3000
167,4,5,2,0,1.0,0.0,va,3000
167,4,6,3,0,11.0,0.0,ao,3000
167,4,7,3,0,4.5,0.0,av,3000
167,4,8,3,0,2.2,0.0,vo,3000
167,4,9,3,0,1.1,0.0,vv,3000
167,4,10,1,0,15.0,0.0,ao,3000
167,4,11,1,0,5.0,0.0,av,3000
167,4,12,1,0,5.2,0.0,vo,3000
167,4,13,1,0,1.4,0.0,vv,3000
167,4,14,4,0,6.0,0.0,ao,3000
167,4,15,4,0,1.5,0.0,av,3000
167,4,16,4,0,2.5,0.0,aa,3000
167,4,17,4,0,1.1,0.0,vo,3000
167,4,18,4,0,0.5,0.0,vv,3000
167,4,19,4,0,0.7,0.0,va,3000
167,4,20,2,6000,4.6,0.0,io,3000
167,4,21,2,6000,0.55,0.0,iv,3000
167,4,22,2,20000,0.4,0.0,io,3000
167,4,23,2,20000,0.6,0.0,iv,3000
167,4,24,3,3000,1.8,0.0,io,3000
167,4,25,1,3000,0.5,0.0,io,3000
167,4,26,1,3000,0.5,0.0,iv,3000
167,4,27,3,6000,0.3,0.0,io,3000
167,4,28,1,6000,4.4,0.0,io,3000
167,4,29,1,6000,0.7,0.0,iv,3000
167,4,30,3,20000,0.6,0.0,io,3000
167,4,31,1,20000,2.5,0.0,io,3000
167,4,32,1,20000,0.7,0.0,iv,3000
167,4,33,2,3000,2.6,0.0,io,3000
167,4,34,2,3000,1.8,0.0,iv,3000
167,4,35,2,6000,4.6,0.0,ma,3000
193,6,0,3,0,5.5,0.0,ao,1500
193,6,1,3,0,8.5,0.0,av,1500
193,6,2,3,0,1.4,0.0,vo,1500
193,6,3,3,0,1.7,0.0,vv,1500
193,6,4,4,0,4.5,0.0,ao,1500
193,6,5,4,0,6.5,0.0,aa,1500
193,6,6,4,0,1.3,0.0,vo,1500
193,6,7,4,0,2.0,0.0,va,1500
193,6,8,1,0,5.5,0.0,ao,1500
193,6,9,1,0,5.5,0.0,av,1500
193,6,10,1,0,0.85,0.0,vo,1500
193,6,11,1,0,1.1,0.0,vv,1500
193,6,12,2,0,5.0,0.0,ao,1500
193,6,13,2,0,6.0,0.0,aa,1500
193,6,14,2,0,0.9,0.0,vo,1500
193,6,15,2,0,1.3,0.0,va,1500
193,6,16,4,35000,0.55,0.0,io,1500
193,6,17,4,7500,0.7,0.0,ia,1500
193,6,18,4,3000,0.25,0.0,ia,1500
193,6,19,4,15000,0.4,0.0,io,1500
193,6,20,4,15000,1.3,0.0,ia,1500
193,6,21,4,1500,0.3,0.0,io,1500
193,6,22,4,1500,0.4,0.0,ia,1500
193,6,23,3,1500,0.3,0.0,io,1500
193,6,24,3,1500,0.6,0.0,iv,1500
193,6,25,3,40000,0.4,0.0,iv,1500
193,6,26,3,30000,0.45,0.0,io,1500
193,6,27,3,15000,0.6,0.0,io,1500
193,6,28,3,15000,0.4,0.0,iv,1500
193,6,29,3,3000,0.4,0.0,io,1500
193,6,30,3,3000,0.2,0.0,iv,1500
193,6,31,4,15000,1.3,0.0,ma,1500
90,2,0,2,0,7.0,0.0,ao,3000
90,2,1,2,0,5.0,0.0,av,3000
90,2,2,2,0,8.0,0.0,aa,3000
90,2,3,2,0,2.15,0.0,vo,3000
90,2,4,2,0,1.8,0.0,vv,3000
90,2,5,2,0,4.5,0.0,va,3000
90,2,6,3,0,19.0,0.0,ao,3000
90,2,7,3,0,21.0,0.0,av,3000
90,2,8,3,0,5.5,0.0,aa,3000
90,2,9,3,0,6.7,0.0,vo,3000
90,2,10,3,0,8.5,0.0,vv,3000
90,2,11,3,0,2.5,0.0,va,3000
90,2,12,1,0,10.5,0.0,ao,3000
90,2,13,1,0,6.0,0.0,aa,3000
90,2,14,1,0,2.15,0.0,vo,3000
90,2,15,1,0,3.0,0.0,va,3000
90,2,16,4,0,9.0,0.0,ao,3000
90,2,17,4,0,11.0,0.0,av,3000
90,2,18,4,0,4.5,0.0,aa,3000
90,2,19,4,0,10.5,0.0,vo,3000
90,2,20,4,0,11.0,0.0,vv,3000
90,2,21,4,0,2.3,0.0,va,3000
90,2,22,4,9000,0.45,0.0,ia,3000
90,2,23,4,32000,0.9,0.0,ia,3000
90,2,24,4,25000,3.5,0.0,io,3000
90,2,25,4,24000,3.0,0.0,iv,3000
90,2,26,4,18000,2.25,0.0,io,3000
90,2,27,4,12000,0.9,0.0,io,3000
90,2,28,2,9000,0.9,0.0,ia,3000
90,2,29,2,12000,0.5,0.0,io,3000
90,2,30,2,12000,0.7,0.0,iv,3000
90,2,31,2,12000,3.7,0.0,ia,3000
90,2,32,2,15000,0.55,0.0,io,3000
90,2,33,2,24000,1.1,0.0,ia,3000
90,2,34,2,32000,0.8,0.0,iv,3000
90,2,35,2,37000,0.7,0.0,io,3000
90,2,36,3,3000,2.6,0.0,io,3000
90,2,37,3,3000,2.9,0.0,iv,3000
90,2,38,3,3000,0.35,0.0,ia,3000
90,2,39,3,6000,0.55,0.0,io,3000
90,2,40,3,6000,1.0,0.0,iv,3000
90,2,41,3,9000,1.1,0.0,io,3000
90,2,42,3,9000,1.3,0.0,iv,3000
90,2,43,3,9000,0.55,0.0,ia,3000
90,2,44,3,12000,1.9,0.0,io,3000
90,2,45,3,12000,1.1,0.0,iv,3000
90,2,46,3,15000,2.05,0.0,io,3000
90,2,47,3,15000,1.6,0.0,iv,3000
90,2,48,1,3000,1.55,0.0,io,3000
90,2,49,1,3000,0.65,0.0,ia,3000
90,2,50,4,41000,2.9,0.0,io,3000
90,2,51,4,38000,1.1,0.0,ia,3000
90,2,52,4,37000,3.6,0.0,iv,3000
90,2,53,4,6000,0.8,0.0,iv,3000
90,2,54,4,3000,1.1,0.0,iv,3000
90,2,55,4,3000,0.3,0.0,ia,3000
90,2,56,3,37000,1.35,0.0,ia,3000
90,2,57,3,35000,1.6,0.0,io,3000
90,2,58,3,28000,2.75,0.0,iv,3000
90,2,59,3,22000,1.65,0.0,io,3000
90,2,60,1,6000,0.35,0.0,io,3000
90,2,61,1,6000,0.65,0.0,ia,3000
90,2,62,1,12000,1.5,0.0,ia,3000
90,2,63,1,15000,0.65,0.0,io,3000
90,2,64,1,21000,0.45,0.0,ia,3000
90,2,65,1,38000,0.5,0.0,io,3000
90,2,66,3,20000,2.7,0.0,iv,3000
90,2,67,2,3000,0.8,0.0,io,3000
90,2,68,2,3000,0.5,0.0,iv,3000
90,2,69,2,3000,0.4,0.0,ia,3000
90,2,70,1,41000,0.45,0.0,ia,3000
90,2,71,2,6000,0.9,0.0,io,3000
90,2,72,2,6000,0.6,0.0,iv,3000
90,2,73,2,6000,0.45,0.0,ia,3000
90,2,74,2,12000,3.7,0.0,ma,3000
160,3,0,1,0,5.5,0.0,ao,3000
160,3,1,1,0,6.5,0.0,av,3000
160,3,2,1,0,4.5,0.0,vo,3000
160,3,3,1,0,3.5,0.0,vv,3000
160,3,4,2,0,7.25,0.0,ao,3000
160,3,5,2,0,9.5,0.0,av,3000
160,3,6,2,0,14.0,0.0,aa,3000
160,3,7,2,0,5.2,0.0,vo,3000
160,3,8,2,0,5.0,0.0,vv,3000
160,3,9,2,0,6.2,0.0,va,3000
160,3,10,4,0,13.0,0.0,ao,3000
160,3,11,4,0,9.5,0.0,av,3000
160,3,12,4,0,6.0,0.0,vo,3000
160,3,13,4,0,5.3,0.0,vv,3000
160,3,14,3,0,23.0,0.0,ao,3000
160,3,15,3,0,14.0,0.0,av,3000
160,3,16,3,0,6.5,0.0,aa,3000
160,3,17,3,0,12.0,0.0,vo,3000
160,3,18,3,0,7.0,0.0,vv,3000
160,3,19,3,0,3.0,0.0,va,3000
